"time","cumulative_infected"
0,10
1,13.2507752505697
2,17.0535120289655
3,21.48865784059
4,26.6460706969277
5,32.625733385722
6,39.5385354440266
7,47.5069454374722
8,56.6657276585148
9,67.1626052533663
10,79.1588654532556
11,92.8298985080162
12,108.365644549508
13,125.970929462102
14,145.865665806249
15,168.284894097743
16,193.47863866806
17,221.711551027377
18,253.262313260933
19,288.422773950752
20,327.496789790214
21,370.798747554213
22,418.651743532151
23,471.385401078294
24,529.333311716207
25,592.830091368474
26,662.208050857271
27,737.793488878914
28,819.90263318871
29,908.837227892746
30,1004.87986638527
31,1108.28909149194
32,1219.29433159717
33,1338.09077096274
34,1464.83425618915
35,1599.6363470954
36,1742.5596363849
37,1893.61346856528
38,2052.75019179883
39,2219.86207517376
40,2394.7790173591
41,2577.26716055629
42,2767.02850589588
43,2963.70160319343
44,3166.86335985971
45,3376.03198170273
46,3590.67102364471
47,3810.19449256523
48,4033.97290930846
49,4261.34020630137
50,4491.60129719565
51,4724.04015702617
52,4957.92820829247
53,5192.53281630477
54,5427.1256909865
55,5660.9910036709
56,5893.4330418365
57,6123.78324477626
58,6351.40649149197
59,6575.70654112712
60,6796.13055807258
61,7012.17268539534
62,7223.37666047701
63,7429.33749430697
64,7629.70225986191
65,7824.17005475404
66,8012.49121852154
67,8194.46589551677
68,8369.9420405186
69,8538.8129663442
70,8701.01453138803
71,8856.52206077841
72,9005.34708835326
73,9147.53399864694
74,9283.15663835041
75,9412.31495836052
76,9535.13173613515
77,9651.74941983096
78,9762.32712611551
79,9867.03781556006
80,9966.06566221357
81,10059.6036274643
82,10147.8512427731
83,10231.0126013513
84,10309.2945550746
85,10382.9051100052
86,10452.0520116477
87,10516.9415094441
88,10577.7772889187
89,10634.7595592391
90,10688.0842836787
91,10737.9425404837
92,10784.5200018829
93,10827.9965194319
94,10868.5458044055
95,10906.3351926042
96,10941.5254836502
97,10974.270845562
98,11004.7187761359
99,11033.0101133943
100,11059.2790880615
101,11083.6534117105
102,11106.2543948615
103,11127.197089916
104,11146.5904543704
105,11164.5375302695
106,11181.1356363339
107,11196.4765696355
108,11210.6468140464
109,11223.7277531687
110,11235.7958856106
111,11246.923040795
112,11257.1765938957
113,11266.6196785572
114,11275.311396321
115,11283.3070218636
116,11290.6582033095
117,11297.413157021
118,11303.6168563945
119,11309.3112142985
120,11314.5352588862
121,11319.3253025968
122,11323.7151042321
123,11327.7360240563
124,11331.4171719209
125,11334.7855484601
126,11337.8661794428
127,11340.6822433969
128,11343.2551926513
129,11345.6048679594
130,11347.749606889
131,11349.7063461747
132,11351.4907182425
133,11353.1171421203
134,11354.5989089576
135,11355.9482623769
136,11357.1764738842
137,11358.2939135623
138,11359.3101162708
139,11360.2338435746
140,11361.0731416153
141,11361.8353951397
142,11362.5273778899
143,11363.1552995573
144,11363.7248494923
145,11364.2412373593
146,11364.7092309153
147,11365.1331910862
148,11365.5171045062
149,11365.8646136783
150,11366.1790449082
151,11366.4634341532
152,11366.7205509254
153,11366.9529203765
154,11367.1628436888
155,11367.3524168864
156,11367.5235481783
157,11367.6779739351
158,11367.8172733968
159,11367.9428822036
160,11368.0561048344
161,11368.1581260347
162,11368.2500213078
163,11368.3327665408
164,11368.4072468302
165,11368.4742645691
166,11368.5345468536
167,11368.5887522598
168,11368.6374770434
169,11368.6812608059
170,11368.7205916714
171,11368.7559110126
172,11368.7876177639
173,11368.8160723542
174,11368.8416002919
175,11368.8644954311
176,11368.8850229445
177,11368.9034220298
178,11368.9199083702
179,11368.9346763724
180,11368.9479011985
